id	title	imdbID	spanishTitle	imdbPictureURL	year	rtID	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsNumRotten	rtAllCriticsScore	rtTopCriticsRating	rtTopCriticsNumReviews	rtTopCriticsNumFresh	rtTopCriticsNumRotten	rtTopCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore	rtPictureURL
1876	Deep Impact	0120647	Deep Impact	http://ia.media-imdb.com/images/M/MV5BMTQ0OTg5ODM0N15BMl5BanBnXkFtZTYwNTE2MzM5._V1._SX214_CR0,0,214,314_.jpg	1998	deep_impact	5.7	51	24	27	47	5.9	6	2	4	33	2.9	28624	51	http://content8.flixster.com/movie/10/88/98/10889858_det.jpg
1877	Little Men	0145048	Hombrecitos	http://ia.media-imdb.com/images/M/MV5BMTQ2Njc5NzkzN15BMl5BanBnXkFtZTcwMzcwNjUyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1997	1081316-little_men	4.6	7	1	6	14	0	3	0	3	0	3.5	85	63	http://content7.flixster.com/movie/10/55/44/10554493_det.gif
1878	Face/Off	0119094	Cara a cara (Face/Off)	http://ia.media-imdb.com/images/M/MV5BMTQ3MDY4NDk1Ml5BMl5BanBnXkFtZTcwNTM3MzYwMg@@._V1._SY314_CR2,0,214,314_.jpg	1997	faceoff	7.9	60	56	4	93	8.4	15	15	0	100	3.5	62348	81	http://content8.flixster.com/movie/10/85/08/10850854_det.jpg
1879	The Hanging Garden	0125128	The Hanging Garden	http://ia.media-imdb.com/images/M/MV5BMTYwMTMzNTMwMV5BMl5BanBnXkFtZTcwOTg0NDQzMQ@@._V1._SY314_CR4,0,214,314_.jpg	1997	hanging_garden	7.3	16	15	1	93	0	4	4	0	100	3.6	485	70	http://content8.flixster.com/movie/10/90/64/10906450_det.jpg
1880	Lawn Dogs	0119506	Inocencia rebelde (Lawn Dogs)	http://ia.media-imdb.com/images/M/MV5BMTI3NDA4NzcyNV5BMl5BanBnXkFtZTcwMTMzMjMyMQ@@._V1._SY314_CR1,0,214,314_.jpg	1997	lawn_dogs	6.5	18	13	5	72	0	4	1	3	25	3.8	1154	84	http://content7.flixster.com/movie/27/69/276997_det.jpg
1881	Quest for Camelot	0120800	La espada mágica	http://ia.media-imdb.com/images/M/MV5BNTUwMTYyNDY1MV5BMl5BanBnXkFtZTcwMzgzNDEzMQ@@._V1._SX214_CR0,0,214,314_.jpg	1998	quest_for_camelot	5.3	21	7	14	33	5.9	6	2	4	33	3.1	4041	62	http://content6.flixster.com/movie/10/91/52/10915264_det.jpg
1882	Godzilla	0120685	Godzilla	http://ia.media-imdb.com/images/M/MV5BMjM0ODUxMDc1OV5BMl5BanBnXkFtZTYwNjIwNjg5._V1._SX214_CR0,0,214,314_.jpg	1998	godzilla	4.7	59	15	44	25	5.7	9	3	6	33	2.6	17658	38	http://content9.flixster.com/movie/25/99/259919_det.jpg
1883	Bulworth	0118798	Bulworth	http://ia.media-imdb.com/images/M/MV5BMjEzMjYyMDg5OV5BMl5BanBnXkFtZTcwNzc4NTAyMQ@@._V1._SY314_CR4,0,214,314_.jpg	1998	bulworth	7	61	46	15	75	7.6	10	8	2	80	3.1	3041	60	http://content6.flixster.com/movie/27/10/271016_det.jpg
1884	Fear and Loathing in Las Vegas	0120669	Miedo y asco en Las Vegas	http://ia.media-imdb.com/images/M/MV5BMTczMTI1MTU0NF5BMl5BanBnXkFtZTcwMjM0MzMzMQ@@._V1._SY314_CR3,0,214,314_.jpg	1998	fear_and_loathing_in_las_vegas	5.8	45	21	24	46	4.1	6	0	6	0	3.9	75860	90	http://content6.flixster.com/movie/10/88/64/10886456_det.jpg
1885	The Opposite of Sex	0120777	Lo opuesto al sexo	http://ia.media-imdb.com/images/M/MV5BMTk4NzMwNzExM15BMl5BanBnXkFtZTcwODA1NDQyMQ@@._V1._SY314_CR2,0,214,314_.jpg	1998	opposite_of_sex	7.1	40	33	7	82	6.9	7	4	3	57	3.1	3268	57	http://content7.flixster.com/movie/27/31/273121_det.jpg
1886	I Got the Hook Up	0131436	I Got the Hook Up	http://ia.media-imdb.com/images/M/MV5BMTU4MzA4NzkxNV5BMl5BanBnXkFtZTcwNDQ2NDkxMQ@@._V1._SY314_CR2,0,214,314_.jpg	1998	i_got_the_hookup	3	12	2	10	16	0	2	0	2	0	3.2	1133	68	http://content9.flixster.com/movie/10/88/71/10887139_det.jpg
1887	Almost Heroes	0119053	Héroes por casualidad	http://ia.media-imdb.com/images/M/MV5BMTM4NDY3MDI5Nl5BMl5BanBnXkFtZTcwMzI3OTkyMQ@@._V1._SY314_CR15,0,214,314_.jpg	1998	almost_heroes	2.3	21	3	18	14	0	3	0	3	0	2.9	4626	63	http://content8.flixster.com/movie/60/49/77/6049770_det.jpg
1888	Hope Floats	0119313	Siempre queda el amor	http://ia.media-imdb.com/images/M/MV5BMjE3MDc2OTk0OV5BMl5BanBnXkFtZTcwNzkzNDUyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1998	hope_floats	4.9	31	7	24	22	4.8	7	0	7	0	3.3	12082	73	http://content6.flixster.com/movie/26/48/264824_det.jpg
1889	Insomnia	0278504	Insomnio	http://ia.media-imdb.com/images/M/MV5BMzA5NTkxNTIyNl5BMl5BanBnXkFtZTcwMDkzMjAyMQ@@._V1._SY314_CR1,0,214,314_.jpg	2002	1114154-insomnia	7.7	166	153	13	92	7.8	33	31	2	93	3.2	18085	66	http://content6.flixster.com/movie/27/69/276996_det.jpg
1890	Little Boy Blue	0119547	Little Boy Blue	http://ia.media-imdb.com/images/M/MV5BMTU5MzU5NTQ2OF5BMl5BanBnXkFtZTcwNTQ4ODA0MQ@@._V1._SY314_CR3,0,214,314_.jpg	1997	little_boy_blue	5	8	2	6	25	0	0	0	0	0	0	0	0	http://content9.flixster.com/movie/38/91/55/3891551_det.jpg
1891	Coyote Ugly	0200550	El bar Coyote	http://ia.media-imdb.com/images/M/MV5BMTk1NzM1ODg4OF5BMl5BanBnXkFtZTcwMTQ3OTgyMQ@@._V1._SY314_CR3,0,214,314_.jpg	2000	coyote_ugly	3.9	94	20	74	21	3.6	27	5	22	18	3.2	65988	73	http://content7.flixster.com/movie/25/81/258105_det.jpg
1892	A Perfect Murder	0120787	A perfect murder: Un crimen perfecto	http://ia.media-imdb.com/images/M/MV5BMTU2MDAxMjU0Nl5BMl5BanBnXkFtZTcwNjY2NzAzMQ@@._V1._SY314_CR10,0,214,314_.jpg	1998	1083171-perfect_murder	6.2	49	27	22	55	6.2	14	8	6	57	3.1	9130	52	http://content9.flixster.com/movie/10/91/93/10919303_det.gif
1893	Jenseits der Stille	0116692	Jenseits der Stille	http://ia.media-imdb.com/images/M/MV5BMTMyMTgxNTA5M15BMl5BanBnXkFtZTcwMDkxMzU1MQ@@._V1._SY314_CR11,0,214,314_.jpg	1996	beyond_silence	7.5	11	9	2	81	8	5	5	0	100	3.9	474	83	http://content7.flixster.com/movie/27/24/272409_det.jpg
1894	Six Days Seven Nights	0120828	Seis días y siete noches	http://ia.media-imdb.com/images/M/MV5BMTY0ODQ2NDE2NF5BMl5BanBnXkFtZTcwNDM5MDkyMQ@@._V1._SY314_CR6,0,214,314_.jpg	1998	six_days_seven_nights	5.4	38	14	24	36	5.4	6	0	6	0	2.7	10008	41	http://content9.flixster.com/movie/10/87/45/10874539_det.jpg
1895	Can't Hardly Wait	0127723	Ya no puedo esperar	http://ia.media-imdb.com/images/M/MV5BMjAyMTUzODg2OV5BMl5BanBnXkFtZTcwMjM4MTAyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1998	cant_hardly_wait	5.4	45	20	25	44	5.4	12	5	7	41	3.1	11719	60	http://content9.flixster.com/movie/25/65/256595_det.jpg
1896	Cousin Bette	0118894	La prima Bette	http://ia.media-imdb.com/images/M/MV5BMTk3MDc1MzY0MF5BMl5BanBnXkFtZTcwMjcyNzgxMQ@@._V1._SY314_CR4,0,214,314_.jpg	1998	1084229-cousin_bette	6	21	10	11	47	5.6	5	1	4	20	3	408	38	http://content8.flixster.com/movie/27/12/271294_det.jpg
1897	High Art	0139362	High Art	http://ia.media-imdb.com/images/M/MV5BMjAyMjIwMzM3M15BMl5BanBnXkFtZTcwOTU0MDYyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1998	high_art	6.8	42	30	12	71	7.2	7	4	3	57	3.7	2153	76	http://content7.flixster.com/movie/10/89/19/10891985_det.jpg
1898	The Land Girls	0119494	Amores en tiempos de guerra	http://ia.media-imdb.com/images/M/MV5BMTAzNjkzOTgwODleQTJeQWpwZ15BbWU3MDk3NzE2MTE@._V1._SY314_CR2,0,214,314_.jpg	1998	land_girls	6.7	17	11	6	64	6.1	7	2	5	28	3.3	693	54	http://content7.flixster.com/movie/15/52/22/1552225_det.jpg
1899	Passion in the Desert	0125980	Passion in the Desert	http://ia.media-imdb.com/images/M/MV5BNzM2MDk3NDIxOV5BMl5BanBnXkFtZTcwMTcwMjYzMQ@@._V1._SY314_CR4,0,214,314_.jpg	1997	passion_in_the_desert	6.1	20	13	7	65	0	4	1	3	25	3.2	162	55	http://content7.flixster.com/movie/10/88/55/10885545_det.jpg
1900	Bacheha-Ye aseman	0118849	Children of Heaven: Niños del paraíso	http://ia.media-imdb.com/images/M/MV5BMTg0OTk4MDEwMV5BMl5BanBnXkFtZTYwNzMwNzI5._V1._SY314_CR2,0,214,314_.jpg	1997	the-children-of-heaven	7.6	25	21	4	84	7.6	5	4	1	80	4.4	3834	94	http://content6.flixster.com/movie/10/94/64/10946460_det.jpg
1901	Dear Jesse	0150290	Dear Jesse	http://ia.media-imdb.com/images/M/MV5BMTkyNTMyMjg5Ml5BMl5BanBnXkFtZTcwNDY3NzkxMQ@@._V1._SX214_CR0,0,214,314_.jpg	1998	dear_jesse	6.8	6	5	1	83	0	1	1	0	100	3.8	29	100	http://content8.flixster.com/movie/10/91/90/10919006_det.jpg
1902	Dream for an Insomniac	0116141	El novio de mis sueños	http://ia.media-imdb.com/images/M/MV5BMjEzMTk3MjUzOV5BMl5BanBnXkFtZTcwNDU2MzczMQ@@._V1._SY314_CR2,0,214,314_.jpg	1996	dream_for_an_insomniac	5	10	5	5	50	0	2	0	2	0	3.6	1167	74	http://content6.flixster.com/movie/27/87/278704_det.jpg
1903	Hav Plenty	0126938	Saltan chispas	http://ia.media-imdb.com/images/M/MV5BOTA0MzIzODU2OV5BMl5BanBnXkFtZTcwMjc4OTcxMQ@@._V1._SY314_CR2,0,214,314_.jpg	1997	hav_plenty	5.2	21	8	13	38	6.6	6	4	2	66	3.9	465	80	http://content6.flixster.com/movie/27/22/272224_det.jpg
1904	Henry Fool	0122529	Henry Fool	http://ia.media-imdb.com/images/M/MV5BMTIwNzM3OTg4MF5BMl5BanBnXkFtZTYwODY4MzI5._V1._SX214_CR0,0,214,314_.jpg	1997	henry_fool	7.4	26	22	4	84	0	3	2	1	66	3.8	1375	78	http://content8.flixster.com/movie/10/88/94/10889490_det.jpg
1906	Mr. Jealousy	0119717	Mr. Jealousy	http://ia.media-imdb.com/images/M/MV5BMTYzNTg4OTU1M15BMl5BanBnXkFtZTcwODM0NzkxMQ@@._V1._SY314_CR5,0,214,314_.jpg	1997	mr_jealousy	6.5	12	8	4	66	0	4	2	2	50	3.3	437	59	http://content7.flixster.com/movie/28/00/280097_det.jpg
1907	Mulan	0120762	Mulan	http://ia.media-imdb.com/images/M/MV5BMTIwNjY4NDU2NF5BMl5BanBnXkFtZTcwMzM0OTUyMQ@@._V1._SY314_CR2,0,214,314_.jpg	1998	mulan	7.5	72	62	10	86	7	14	10	4	71	3.4	52938	78	http://content6.flixster.com/movie/11/14/84/11148476_det.jpg
1908	Resurrection Man	0140508	Resurrection Man	http://ia.media-imdb.com/images/M/MV5BMTQyNDE0MDQyOF5BMl5BanBnXkFtZTcwODg3NDYyMQ@@._V1._SY314_CR4,0,214,314_.jpg	1998	resurrection_man	0	3	0	3	0	0	0	0	0	0	0	0	0	http://content7.flixster.com/movie/10/92/14/10921409_det.jpg
1909	The X Files	0120902	Expediente X	http://ia.media-imdb.com/images/M/MV5BMTY0NzA4MjYzNF5BMl5BanBnXkFtZTcwMzgwMjQyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1998	xfiles_fight_the_future	6	68	43	25	63	5.9	15	8	7	53	3.3	13283	69	http://content6.flixster.com/movie/25/49/254904_det.jpg
1910	I Went Down	0126344	I Went Down	http://ia.media-imdb.com/images/M/MV5BMTk1Nzk5NTE3OF5BMl5BanBnXkFtZTcwMTIzOTEyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1997	i_went_down	7.2	19	16	3	84	0	4	2	2	50	4.2	202	88	http://content6.flixster.com/movie/50/89/57/5089576_det.jpg
1911	Doctor Dolittle	0118998	Doctor Dolittle	http://ia.media-imdb.com/images/M/MV5BMTQzMjc4NjIxOV5BMl5BanBnXkFtZTcwMDU0NzIyMQ@@._V1._SY314_CR4,0,214,314_.jpg	1998	dr_dolittle	5.2	49	21	28	42	5.5	8	4	4	50	2.8	23847	46	http://content6.flixster.com/movie/11/15/12/11151232_det.jpg
1912	Out of Sight	0120780	Un romance muy peligroso	http://ia.media-imdb.com/images/M/MV5BMTk2NTg4MzM3NF5BMl5BanBnXkFtZTcwMDYzNTkxMQ@@._V1._SY314_CR5,0,214,314_.jpg	1998	1083436-1083436-out_of_sight	7.9	69	64	5	92	8	14	13	1	92	3.2	11285	65	http://content6.flixster.com/movie/10/88/64/10886428_det.jpg
1913	Picnic at Hanging Rock	0073540	Picnic en Hanging Rock	http://ia.media-imdb.com/images/M/MV5BMjAwMDQzMDEyNV5BMl5BanBnXkFtZTcwODc1NTYxMQ@@._V1._SY314_CR3,0,214,314_.jpg	1975	picnic_at_hanging_rock	8.3	29	27	2	93	9.7	5	5	0	100	4	3210	84	http://content9.flixster.com/movie/25/96/259615_det.jpg
1914	Smoke Signals	0120321	Señales de humo	http://ia.media-imdb.com/images/M/MV5BMTU2NzU1NDIwOV5BMl5BanBnXkFtZTcwMzY2ODAyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1998	smoke_signals	7.3	29	25	4	86	8.1	5	5	0	100	3.9	2767	83	http://content6.flixster.com/movie/25/44/254404_det.jpg
1915	Viagem ao Princípio do Mundo	0120443	Viaje al principio del mundo	http://ia.media-imdb.com/images/M/MV5BMTIyMDMxNDQyMF5BMl5BanBnXkFtZTcwOTkyMjAyMQ@@._V1._SX99_SY140_.jpg	1997	viagem-ao-principio-do-mundo-journey-to-the-beginning-of-the-world	6.2	5	3	2	60	0	0	0	0	0	0	0	0	http://content9.flixster.com/movie/10/94/65/10946519_det.jpg
1916	Buffalo '66	0118789	Buffalo '66	http://ia.media-imdb.com/images/M/MV5BODQ4Mjg0MjE1MV5BMl5BanBnXkFtZTcwOTU0MzMzMQ@@._V1._SX110_SY160_.jpg	1998	buffalo_66	7	40	31	9	77	7.1	7	5	2	71	3.8	7504	87	http://content6.flixster.com/movie/10/87/71/10877180_det.jpg
1917	Armageddon	0120591	Armageddon	http://ia.media-imdb.com/images/M/MV5BMTMxNzkwODQyNl5BMl5BanBnXkFtZTcwNTE5MTAyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1998	armageddon	5.1	77	32	45	41	3.8	17	3	14	17	3.5	105398	77	http://content7.flixster.com/movie/55/05/68/5505685_det.jpg
1918	Lethal Weapon 4	0122151	Arma letal 4	http://ia.media-imdb.com/images/M/MV5BMTU0OTc5NjI3OV5BMl5BanBnXkFtZTcwNTg5NDEyMQ@@._V1._SY314_CR10,0,214,314_.jpg	1998	lethal_weapon_4	5.9	61	33	28	54	6.1	12	6	6	50	3.3	20840	70	http://content7.flixster.com/movie/11/12/88/11128829_det.jpg
1919	Madeline	0123987	Madeline	http://ia.media-imdb.com/images/M/MV5BNzg3MjcwMjE0NV5BMl5BanBnXkFtZTcwOTc1ODgxMQ@@._V1._SY314_CR4,0,214,314_.jpg	1998	1083410-madeline	6.5	26	17	9	65	6.5	6	4	2	66	2.6	3549	45	http://content7.flixster.com/movie/25/93/259317_det.jpg
1920	Small Soldiers	0122718	Pequeños guerreros	http://ia.media-imdb.com/images/M/MV5BMTI5NjE4NzM4OF5BMl5BanBnXkFtZTcwMTc5MDEzMQ@@._V1._SY314_CR2,0,214,314_.jpg	1998	small_soldiers	6.2	41	19	22	46	6.8	12	6	6	50	2.8	9855	46	http://content6.flixster.com/movie/18/47/19/1847196_det.jpg
1921	Pi	0138704	Pi, fe en el caos	http://ia.media-imdb.com/images/M/MV5BMTI4ODUzNzY3MF5BMl5BanBnXkFtZTYwOTU2OTY4._V1._SY298_CR1,0,214,298_.jpg	1998	pi	7.2	49	42	7	85	6.7	11	8	3	72	3.8	33850	86	http://content7.flixster.com/movie/26/78/267897_det.jpg
1922	What Ever Happened to Baby Jane?	0056687	¿Qué fue de Baby Jane?	http://ia.media-imdb.com/images/M/MV5BMzExNjAyNzk2MV5BMl5BanBnXkFtZTcwNTkyOTAyMQ@@._V1._SY314_CR7,0,214,314_.jpg	1962		7.6	37	33	4	89	0	3	2	1	66	3.9	7128	89	http://content8.flixster.com/movie/10/93/55/10935590_det.jpg
1923	There's Something About Mary	0129387	Algo pasa con Mary	http://ia.media-imdb.com/images/M/MV5BMjA0OTU2MzYwOV5BMl5BanBnXkFtZTYwNTA3OTk5._V1._SY314_CR3,0,214,314_.jpg	1998	something_more	0	2	0	2	0	0	1	0	1	0	3.1	233	47	http://content7.flixster.com/movie/10/88/61/10886109_det.jpg
1924	Plan 9 from Outer Space	0052077	Plan 9 from Outer Space	http://ia.media-imdb.com/images/M/MV5BMTg1MDM5OTU0Nl5BMl5BanBnXkFtZTcwMjk5NzEzMQ@@._V1._SY314_CR3,0,214,314_.jpg	1958	plan-9-from-outer-space	4.9	30	19	11	63	0	1	1	0	100	2.8	6105	46	http://content8.flixster.com/movie/10/85/09/10850926_det.jpg
1925	Der Himmel über Berlin	0093191	El cielo sobre Berlín	http://ia.media-imdb.com/images/M/MV5BMTcwMTk1MTUzMl5BMl5BanBnXkFtZTcwODAwNTQ4Mg@@._V1._SY314_CR4,0,214,314_.jpg	1987	wings_of_desire	8.5	39	38	1	97	7.5	6	5	1	83	4.4	9110	94	http://content9.flixster.com/movie/25/46/254691_det.jpg
1926	The Broadway Melody	0019729	La melodía de Broadway	http://ia.media-imdb.com/images/M/MV5BMTIyODQ2MTMyMV5BMl5BanBnXkFtZTYwNzUwMzY5._V1._SX77_SY140_.jpg	1929		5.4	16	6	10	37	0	4	2	2	50	2.9	515	31	http://content8.flixster.com/movie/11/12/95/11129594_det.jpg
1927	All Quiet on the Western Front	0020629	Sin novedad en el frente	http://ia.media-imdb.com/images/M/MV5BMTc3OTk2MzY3Nl5BMl5BanBnXkFtZTcwMDMxNzIyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1930	1000642-all_quiet_on_the_western_front	8.6	32	31	1	96	7.8	5	5	0	100	3.8	3797	85	http://content6.flixster.com/movie/66/23/12/6623120_det.jpg
1928	Spirit: Stallion of the Cimarron	0166813	Spirit: El corcel indomable	http://ia.media-imdb.com/images/M/MV5BMTYwNzA2NDI1M15BMl5BanBnXkFtZTcwNzkyMTcyMQ@@._V1._SY314_CR3,0,214,314_.jpg	2002	spirit_stallion_of_the_cimarron	6.4	125	86	39	68	6.9	29	23	6	79	3.3	8302	72	http://content9.flixster.com/movie/10/87/48/10874827_det.jpg
1929	Grand Hotel	0022958	Gran hotel	http://ia.media-imdb.com/images/M/MV5BMjA3ODM4NjYxOV5BMl5BanBnXkFtZTcwMDQ4NDAzMQ@@._V1._SY314_CR22,0,214,314_.jpg	1932	grand_hotel	7.4	28	24	4	85	7.6	5	5	0	100	3.8	1661	77	http://content7.flixster.com/movie/29/63/296321_det.jpg
1930	Cavalcade	0023876	Cabalgata	http://ia.media-imdb.com/images/M/MV5BMjE5MTgxMTkyNl5BMl5BanBnXkFtZTcwODgyNzAwMQ@@._V1._SX214_CR0,0,214,314_.jpg	1933	cavalcade	6.7	14	9	5	64	0	4	4	0	100	3	314	35	http://content9.flixster.com/movie/10/88/00/10880031_det.jpg
1931	Mutiny on the Bounty	0026752	La tragedia de la Bounty	http://ia.media-imdb.com/images/M/MV5BMjAxNjgwNDUwNl5BMl5BanBnXkFtZTcwMjUzMDUyMQ@@._V1._SY314_CR5,0,214,314_.jpg	1935	1014481-mutiny_on_the_bounty	8.2	28	26	2	92	7.5	6	5	1	83	3.7	1846	79	http://content9.flixster.com/movie/10/88/45/10884511_det.jpg
1932	The Great Ziegfeld	0027698	El gran Ziegfeld	http://ia.media-imdb.com/images/M/MV5BMTY1NTM4MDk1OV5BMl5BanBnXkFtZTYwMDgxNjg5._V1._SX150_SY221_.jpg	1936	great_ziegfeld	6	21	12	9	57	6	5	3	2	60	3.4	704	60	http://content8.flixster.com/movie/30/32/303222_det.jpg
1933	The Life of Emile Zola	0029146	La vida de Emile Zola	http://ia.media-imdb.com/images/M/MV5BMjEwNjM0MzY0MF5BMl5BanBnXkFtZTYwNTEwOTA5._V1._SX214_CR0,0,214,314_.jpg	1937	life_of_emile_zola	7	20	14	6	70	7.2	5	4	1	80	3.6	620	72	http://content7.flixster.com/movie/10/84/90/10849013_det.jpg
1934	You Can't Take It with You	0030993	Vive como quieras	http://ia.media-imdb.com/images/M/MV5BMTgyMzEzMTczMV5BMl5BanBnXkFtZTcwMTgwNDMyMQ@@._V1._SY314_CR1,0,214,314_.jpg	1938	1024312-you_cant_take_it_with_you	7.3	27	26	1	96	0	4	4	0	100	4	2934	87	http://content7.flixster.com/movie/10/91/55/10915585_det.jpg
1935	How Green Was My Valley	0033729	¡Qué verde era mi valle!	http://ia.media-imdb.com/images/M/MV5BMTY4MTk2MjQ4N15BMl5BanBnXkFtZTcwNzY3MDAzMQ@@._V1._SY314_CR4,0,214,314_.jpg	1941	how_green_was_my_valley	7.8	34	30	4	88	7.2	5	5	0	100	3.9	1995	83	http://content6.flixster.com/movie/30/92/309228_det.jpg
1936	Mrs. Miniver	0035093	La señora Miniver	http://ia.media-imdb.com/images/M/MV5BMTIxMjMxNTIzMl5BMl5BanBnXkFtZTcwNTEwMjkyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1942	mrs_miniver	7.6	22	19	3	86	8.2	5	5	0	100	3.9	1307	85	http://content8.flixster.com/movie/10/08/01/10080150_det.jpg
1937	Going My Way	0036872	Siguiendo mi camino	http://ia.media-imdb.com/images/M/MV5BMTUxNjU1NjMwM15BMl5BanBnXkFtZTYwNTA0NjM5._V1._SX214_CR0,0,214,314_.jpg	1944	going_my_way	7	19	14	5	73	0	4	3	1	75	3.8	1251	80	http://content6.flixster.com/movie/10/89/81/10898136_det.jpg
1938	The Lost Weekend	0037884	Días sin huella	http://ia.media-imdb.com/images/M/MV5BMTIyNzAwNTQxMV5BMl5BanBnXkFtZTYwNTA5ODQ5._V1._SX214_CR0,0,214,314_.jpg	1945	lost_weekend	8.2	24	24	0	100	0	4	4	0	100	4	2562	86	http://content9.flixster.com/movie/10/95/53/10955391_det.jpg
1939	The Best Years of Our Lives	0036868	Los mejores años de nuestra vida	http://ia.media-imdb.com/images/M/MV5BNzMyODM1MjE2M15BMl5BanBnXkFtZTYwODM2NzM5._V1._SX214_CR0,0,214,314_.jpg	1946	best_years_of_our_lives	8.6	35	34	1	97	8.1	8	8	0	100	4.2	3330	91	http://content7.flixster.com/movie/10/17/14/10171413_det.jpg
1940	Gentleman's Agreement	0039416	La barrera invisible	http://ia.media-imdb.com/images/M/MV5BMTQ4NTA5MTIwOV5BMl5BanBnXkFtZTYwMzc4NTg5._V1._SX214_CR0,0,214,314_.jpg	1947	gentlemans_agreement	7	30	25	5	83	6.8	5	4	1	80	3.8	1308	79	http://content8.flixster.com/movie/30/79/307930_det.jpg
1941	Hamlet	0116477	Hamlet	http://ia.media-imdb.com/images/M/MV5BMTM5NjMzOTg0MV5BMl5BanBnXkFtZTcwNzYxMzUyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1996	1075422-hamlet	8.2	54	51	3	94	7.2	14	11	3	78	3.8	5816	86	http://content7.flixster.com/movie/10/94/26/10942625_det.jpg
1942	All the King's Men	0405676	All the King's Men	http://ia.media-imdb.com/images/M/MV5BMzY1MTIyNDg4MF5BMl5BanBnXkFtZTcwODQ4MTEzMw@@._V1._SX214_CR0,0,214,314_.jpg	2006	keep-drinking-men	0	0	0	0	0	0	0	0	0	0	0	0	0	http://content6.flixster.com/movie/10/84/23/10842352_det.jpg
1943	The Greatest Show on Earth	0044672	El mayor espectáculo del mundo	http://ia.media-imdb.com/images/M/MV5BMTQ3OTUwNzQyOV5BMl5BanBnXkFtZTcwODA0MDUyMQ@@._V1._SY314_CR5,0,214,314_.jpg	1952	under-the-carp-banner2006	0	0	0	0	0	0	0	0	0	0	0	0	0	http://content6.flixster.com/movie/10/88/18/10881888_det.jpg
1944	From Here to Eternity	0045793	De aquí a la eternidad	http://ia.media-imdb.com/images/M/MV5BMTM3ODY1MjY4OF5BMl5BanBnXkFtZTcwNzA3OTkxMQ@@._V1._SY314_CR2,0,214,314_.jpg	1953	1007931-from_here_to_eternity	8	40	35	5	87	7.9	7	6	1	85	3.9	4410	83	http://content9.flixster.com/movie/29/27/292711_det.jpg
1945	On the Waterfront	0047296	La ley del silencio	http://ia.media-imdb.com/images/M/MV5BMTQ4MDIxNTk4OF5BMl5BanBnXkFtZTcwNDIwMTAzMQ@@._V1._SY314_CR0,0,214,314_.jpg	1954	on_the_waterfront	9	49	49	0	100	8.9	10	10	0	100	4.2	11904	94	http://content9.flixster.com/movie/29/10/291015_det.jpg
1946	Back to the Future	0088763	Regreso al futuro	http://ia.media-imdb.com/images/M/MV5BMTM0MDE3ODQ5Ml5BMl5BanBnXkFtZTcwMDI3MzYwMg@@._V1._SY314_CR8,0,214,314_.jpg	1985	back_to_the_future	8.4	54	52	2	96	7.3	6	5	1	83	3.8	126816	88	http://content6.flixster.com/movie/31/17/311700_det.jpg
1947	West Side Story	0055614	West Side Story	http://ia.media-imdb.com/images/M/MV5BMTc3MTU0MDgyOV5BMl5BanBnXkFtZTcwNjkwNjYxMQ@@._V1._SY314_CR9,0,214,314_.jpg	1961	west_side_story	8.1	49	45	4	91	8	7	6	1	85	3.5	18648	82	http://content9.flixster.com/movie/10/91/74/10917475_det.jpg
1948	Tom Jones	0057590	Tom Jones	http://ia.media-imdb.com/images/M/MV5BMjA2MjU5NDExMV5BMl5BanBnXkFtZTcwMDc3MTQyMQ@@._V1._SY262_CR1,0,214,262_.jpg	1963	tom_jones	7.8	26	21	5	80	0	4	3	1	75	3.3	1389	60	http://content9.flixster.com/movie/29/03/290315_det.jpg
1949	A Man for All Seasons	0060665	Un hombre para la eternidad	http://ia.media-imdb.com/images/M/MV5BMjA4NDM1MDI4OV5BMl5BanBnXkFtZTcwNzAyMTU0MQ@@._V1._SY314_CR2,0,214,314_.jpg	1966	1013162-man_for_all_seasons	7.8	27	23	4	85	0	4	3	1	75	4	2887	86	http://content6.flixster.com/movie/25/08/250892_det.jpg
1950	In the Heat of the Night	0061811	En el calor de la noche	http://ia.media-imdb.com/images/M/MV5BMTg5MTEwODM4NV5BMl5BanBnXkFtZTYwNDIyNDk5._V1._SY314_CR2,0,214,314_.jpg	1967	in_the_heat_of_the_night	8.1	28	27	1	96	0	4	4	0	100	3.9	4274	90	http://content8.flixster.com/movie/25/71/257126_det.jpg
1951	Oliver!	0063385	Oliver	http://ia.media-imdb.com/images/M/MV5BMTczNzIyMTU4Ml5BMl5BanBnXkFtZTYwMDAzMjg5._V1._SX150_SY211_.jpg	1968	oliver	7.7	25	21	4	84	0	4	3	1	75	3.4	9490	72	http://content9.flixster.com/movie/11/15/34/11153479_det.jpg
